d2f4;315;e700;
e4;2f7;311;eca8;
e5;2f4;311;f24c;
16;cac8;
e3;2f6;312;d06c;
e3;2f6;314;d614;
e4;2f4;312;dbb8;
e4;2f6;313;e15c;
e5;2f4;315;e700;
e4;2f7;311;eca8;
e5;2f4;311;f24c;
e4;2f5;31?2?f?1b;333;36b;30;
1a;336;36c;434;
1a;333;36a;828;
19;339;36d;c1c;
1a;332;36a;101c;
1a;335;36b;1420;
1a;339;36c;1824;
19;336;36b;1c24;
19;337;369;2024;
19;336;36b;2424;
19;337;36b;2824;
1a;335;36c;2c28;
19;336;36a;3054;
19;337;366;35f8;
19;336;369;3b9c;
19;339;36a;4140;
19;336;36b;46e4;
18;334;36b;4c8c;
18;336;369;5230;
19;331;368;57d4;
18;337;368;5d78;
18;336;36a;6320;
19;333;367;68c4;
19;333;367;6e68;
19;339;367;7414;
18;336;368;79b4;
19;339;368;7f58;
19;337;367;84fc;
1a;337;366;8aa4;
1b;338;367;9048;
1b;336;365;95ec;
1a;335;366;9b90;
1a;339;366;a134;
1b;335;365;a6dc;
1b;335;363;ac80;
1c;335;365;b224;
1c;335;367;b7cc;
1d;336;367;bd70;
1d;335;368;c314;
1f;337;365;c8b8;
1e;338;36b;ce5c;
1f;336;366;d408;
1e;336;363;d9a8;
20;333;367;df4c;
21;335;365;e4f0;
20;336;363;ea98;
21;335;365;f03c;
23;335;363;f5e0;
22;336;366;fb84;
23;335;365;12c;
24;333;362;67c;
24;337;364;bcc;
25;333;365;111c;
27;335;364;16c0;
27;336;365;1c64;
27;335;367;2208;
29;335;362;27b0;
28;337;363;2d54;
29;336;363;32f8;
2b;336;365;389c;
2b;335;365;3e44;
2c;338;363;43e8;
2d;335;364;498c;
2f;336;362;4f30;
2f;334;367;54d8;
30;335;364;5a7c;
31;335;364;6020;
32;334;364;65c4;
33;333;363;6b6c;
34;337;364;7110;
35;335;364;76b4;
36;335;365;7c58;
36;336;361;8200;
39;335;363;87a4;
39;335;364;8d48;
3a;335;35f;92ec;
3c;335;363;9894;
3d;335;360;9e38;
3d;335;361;a3dc;
3f;336;360;a980;
41;335;360;af28;
41;336;361;b4cc;
42;334;361;ba70;
44;335;35f;c01c;
45;334;362;c5bc;
46;333;361;cb60;
47;333;363;d104;
49;336;361;d6a8;
4a;331;362;dc50;
4b;334;364;e1f4;
4d;335;35f;e798;
4e;332;35f;ed3c;
4f;32e;361;f2e4;
50;32e;362;f888;
52;32c;361;fe2c;
53;329;35e;3d0;
54;328;35b;920;
55;327;35f;e70;
57;320;35e;13c0;
57;321;35f;1968;
5a;31f;35f;1f0c;
5b;31d;35e;24b0;
5c;320;35d;2a58;
5e;31d;35e;2ffc;
5f;31c;35e;35a0;
60;31d;35b;3b44;
62;31b;35e;40ec;
64;31e;35d;4690;
65;31e;35c;4c34;
67;31d;35c;51d8;
68;31c;35c;577c;
69;31d;35c;5d24;
6b;31c;35e;62c8;
6c;31e;35c;686c;
6e;31e;35b;6e10;
6f;31e;35b;73b8;
70;31e;35c;795c;
72;323;359;7f00;
73;321;35f;84a4;
75;31d;359;8a4c;
76;320;35e;8ff0;
79;31f;35c;9594;
7a;31f;35c;9b38;
7b;320;35c;a0e0;
7d;31f;35e;a684;
7d;320;35c;ac28;
80;31e;35c;b1d0;
81;31b;35c;b774;
82;31d;35c;bd18;
84;31d;359;c2bc;
85;31d;35e;c860;
87;31b;35c;ce08;
88;31c;359;d3ac;
89;31a;35a;d950;
8c;31b;35a;def8;
8c;31b;358;e49c;
8d;31a;357;ea40;
90;319;355;efe4;
91;31b;357;f588;
92;319;357;fb30;
93;316;356;d4;
95;318;355;5d0;
97;319;354;b20;
98;319;350;1070;
98;316;351;1614;
9b;317;350;1bb8;
9c;317;34b;215c;
9d;318;34d;2704;
9f;317;34b;2ca8;
a1;316;34b;324c;
a2;315;34a;37f0;
a3;317;348;3d98;
a4;315;345;433c;
a6;318;349;48e0;
a7;319;347;4e84;
a9;318;343;542c;
aa;316;345;59d0;
ac;319;344;5f74;
ad;31c;341;6518;
af;31a;341;6ac0;
b0;319;340;7064;
b1;318;33f;7608;
b1;318;33e;7bac;
b3;31a;33d;8154;
b4;318;33d;86f8;
b6;315;33c;8c9c;
b8;316;33b;9240;
b8;313;338;97e8;
ba;314;339;9d8c;
ba;30c;337;a330;
bc;30b;335;a8d4;
be;30b;337;ae7c;
be;307;335;b420;
bf;306;331;b9c4;
c1;303;334;bf68;
c2;302;333;c510;
c3;303;331;cab4;
c3;301;332;d058;
c5;301;333;d5fc;
c6;300;330;dba4;
c7;303;331;e148;
c9;2fe;331;e6ec;
ca;302;330;ec90;
cb;301;331;f238;
cb;301;32d;f7dc;
cc;2ff;32d;fd80;
ce;301;32e;324;
cf;301;32a;878;
d0;301;32c;dc4;
d0;300;32a;1314;
d1;303;32c;18bc;
d2;302;325;1e60;
d2;302;328;240c;
d4;302;328;29ac;
d5;302;326;2f50;
d5;301;326;34f4;
d7;301;325;3a98;
d7;302;325;403c;
d8;301;325;45e4;
d8;300;326;4b88;
d9;301;320;512c;
da;301;323;56d0;
da;303;321;5c78;
db;300;320;621c;
dc;301;31f;67c0;
dd;301;31f;6d64;
dd;302;31e;730c;
de;301;31d;78b0;
de;301;31e;7e54;
de;301;31f;83fc;
df;301;31a;89a0;
df;300;31c;8f44;
e0;302;31a;94e8;
e1;2ff;31b;9a8c;
e2;302;319;a034;
e2;2ff;317;a5d8;
e1;302;319;ab7c;
e2;302;318;b120;
e2;303;318;b6c8;
e3;2ff;315;bc6c;
e4;301;316;c210;
e4;301;313;c7b4;
e4;301;317;cd5c;
e3;2fd;312;d300;
e4;301;315;d8a4;
e4;2fe;315;de48;
e5;300;314;e3f0;
e5;302;313;e994;
e5;301;315;ef38;
e5;300;313;f4dc;
e4;300;310;fa84;
e4;301;313;28;
e5;301;313;524;
e4;300;311;a74;
e5;301;313;fc4;
e6;2fd;313;1514;
e4;301;312;1ab8;
e4;302;311;205c;
e4;2fd;312;2604;
e5;300;311;2ba8;
e5;301;311;314c;
e4;300;311;36f0;
e5;2fe;313;3c98;
e4;300;30f;423c;
e4;2ff;313;47e0;
e5;302;313;4d84;
e3;304;313;532c;
e3;300;312;58d0;
e3;2fe;312;5e74;
e3;301;313;6420;
e3;2ff;313;69bc;
e2;301;30f;6f64;
e2;2ff;312;7508;
e1;300;312;7aac;
e0;2ff;314;8050;
e0;300;30e;85f8;
e0;300;313;8b9c;
df;2ff;312;9140;
e0;2ff;315;96e4;
df;300;314;9c8c;
df;2ff;313;a230;
de;301;310;a7d4;
dd;2fc;311;ad7c;
dd;300;312;b320;
db;300;312;b8c4;
db;300;316;be68;
db;301;315;c414;
da;2ff;311;c9b4;
d8;300;312;cf58;
d9;2ff;314;d4fc;
d8;301;311;daa0;
d7;301;313;e048;
d5;301;313;e5ec;
d5;2ff;314;eb90;
d4;2ff;314;f134;
d3;301;312;f6dc;
d4;302;314;fc80;
d1;303;313;224;
d1;2ff;311;774;
d1;301;314;cc4;
d0;2ff;315;1214;
d0;303;311;17bc;
cd;301;311;1d60;
cd;300;312;2304;
cd;2ff;313;28a8;
cc;2ff;313;2e4c;
cb;2ff;314;33f4;
ca;302;314;3998;
c9;303;312;3f3c;
c7;2ff;313;44e0;
c7;2ff;314;4a88;
c5;300;313;502c;
c3;300;312;55d0;
c3;2ff;312;5b74;
c2;301;311;611c;
c1;302;314;66c0;
c0;302;314;6c64;
be;302;314;7208;
bd;2ff;314;77b0;
bc;302;314;7d54;
ba;303;311;82f8;
b9;301;314;88a0;
