;345;2700;
9e;34c;d0;
91;31a;34b;5cc;
93;319;34a;b1c;
94;318;34b;106c;
97;317;34c;1610;
98;318;345;1bb4;
9a;318;347;215c;
9c;316;345;2700;
9e;315;343;2ca4;
9????d1;339;36f;30;
d4;33a;36b;428;
d4;33b;36f;81c;
d5;339;36c;c18;
d5;33a;36c;1010;
d6;338;36d;140c;
d7;33a;36d;180c;
d8;33a;36c;1c10;
d9;33c;36c;200c;
d9;33c;36c;240c;
da;33b;36d;2804;
da;33d;36f;2bfc;
db;339;36d;3044;
dc;33a;36c;35ec;
dc;33d;36b;3b90;
dc;33b;36c;4134;
dd;33a;367;46d8;
df;33b;36b;4c80;
e0;33d;369;5224;
e1;33a;369;57c8;
e0;33a;367;5d6c;
e0;339;366;6310;
e1;337;366;68b8;
e2;335;364;6e5c;
e3;33a;35d;7408;
e1;336;365;79a8;
e3;337;366;7f4c;
e3;334;365;84f0;
e4;339;362;8a94;
e3;337;35d;903c;
e5;337;35d;95e0;
e3;335;35e;9b84;
e4;335;360;a128;
e5;336;360;a6d0;
e4;337;35d;ac74;
e5;337;35b;b218;
e5;333;35b;b7bc;
e4;336;35e;bd64;
e4;336;35d;c308;
e5;333;35a;c8ac;
e5;337;357;ce50;
e6;336;354;d3f8;
e5;338;352;d99c;
e5;335;353;df40;
e4;336;34e;e4e4;
e3;337;34e;ea8c;
e4;337;34b;f030;
e4;338;347;f5d4;
e3;334;345;fb78;
e2;334;342;11c;
e2;334;340;670;
e2;335;33b;bc0;
e2;336;339;110c;
e1;337;337;16b4;
df;334;336;1c58;
df;335;330;21fc;
df;335;332;27a4;
de;334;330;2d48;
dd;333;32a;32ec;
dc;336;32b;3890;
dc;334;328;3e38;
db;337;328;43dc;
da;338;32b;4980;
d9;336;325;4f24;
d9;336;325;54cc;
d8;336;323;5a70;
d7;337;321;601c;
d7;336;31f;65b8;
d4;336;31e;6b60;
d4;335;31d;7104;
d3;339;31f;76a8;
d2;336;317;7c4c;
d0;339;31a;81f0;
cf;336;31d;8798;
cf;337;319;8d3c;
ce;336;318;92e0;
cd;336;318;9884;
cc;336;319;9e2c;
cb;336;316;a3d0;
c8;333;314;a974;
c8;337;315;af1c;
c5;336;315;b4c0;
c5;336;314;ba64;
c3;334;315;c010;
c2;337;314;c5b0;
c0;336;314;cb54;
be;332;317;d0f8;
be;32a;316;d69c;
bb;32f;314;dc40;
ba;334;315;e1e8;
b9;337;313;e78c;
b7;336;314;ed30;
b6;333;318;f2d8;
b5;334;315;f87c;
b2;335;315;fe20;
b0;337;315;3c4;
af;336;313;914;
ad;334;316;e64;
ac;338;316;13b4;
ab;338;311;195c;
a9;336;314;1f00;
a8;333;317;24a4;
a6;336;315;2a48;
a4;336;316;2ff0;
a3;336;316;3594;
a0;338;316;3b38;
9f;337;314;40dc;
9d;335;316;4684;
9b;333;317;4c28;
99;336;316;51cc;
97;336;316;5770;
96;334;315;5d18;
93;334;314;62bc;
92;335;315;6860;
91;334;317;6e04;
8e;336;31a;73ac;
8b;333;317;7950;
8b;338;314;7ef4;
89;336;318;8498;
87;336;319;8a3c;
85;335;318;8fe4;
83;334;314;9588;
82;336;31a;9b2c;
80;333;318;a0d4;
7f;336;319;a678;
7c;335;31b;ac20;
7a;334;31a;b1c0;
78;336;31a;b764;
76;335;31c;bd0c;
75;335;31e;c2b0;
73;336;31b;c854;
71;333;31e;cdf8;
6f;334;31f;d3a0;
6e;336;31f;d944;
6b;337;323;dee8;
6a;335;322;e48c;
68;335;31f;ea34;
66;334;323;efd8;
65;336;324;f57c;
63;334;325;fb24;
60;336;327;c8;
5f;334;328;5c4;
5d;336;32b;b14;
5c;336;328;1060;
5a;337;328;1608;
59;335;32b;1bac;
57;337;32e;2150;
55;335;32c;26f8;
53;335;32d;2c9c;
52;335;32f;3240;
50;335;32f;37e4;
4e;334;334;3d8c;
4d;333;331;4330;
4b;336;332;48d4;
49;336;334;4e78;
48;336;335;5420;
46;337;337;59c4;
45;337;337;5f68;
44;336;33a;650c;
41;333;33a;6ab4;
40;336;33b;7058;
3f;333;33b;75fc;
3e;339;33d;7ba0;
3c;334;33b;8148;
3b;334;33d;86ec;
39;335;33d;8c90;
38;333;33f;9234;
36;333;340;97dc;
35;333;341;9d80;
34;334;346;a324;
33;333;343;a8c8;
31;335;345;ae70;
31;335;347;b418;
2f;332;348;b9b8;
2d;336;346;bf5c;
2d;334;347;c504;
2c;334;34a;caa8;
2b;336;349;d04c;
29;334;349;d5f0;
29;335;34c;db98;
28;334;349;e13c;
26;335;34b;e6e0;
26;333;34f;ec84;
25;334;34c;f22c;
23;334;34b;f7d0;
24;334;34e;fd74;
22;335;34c;318;
22;334;34e;868;
21;337;34f;db8;
21;335;34e;1308;
