x-axis,1,2,3
second,Volt,Volt,Volt
-2.335000E+00,+4.005025E+00,+3.022613E+00,+13.115578E+00
-2.332500E+00,+4.060301E+00,+3.080402E+00,+13.354271E+00
-2.330000E+00,+4.125628E+00,+3.241206E+00,+15.000000E+00
-2.327500E+00,+4.206030E+00,+3.216080E+00,+15.452261E+00
-2.325000E+00,+4.246231E+00,+3.402010E+00,+14.045226E+00
-2.322500E+00,+4.286432E+00,+3.361809E+00,+13.957287E+00
-2.320000E+00,+4.326633E+00,+3.522613E+00,+13.919598E+00
-2.317500E+00,+4.366834E+00,+3.570352E+00,+10.226131E+00
-2.315000E+00,+4.366834E+00,+3.618090E+00,+9.221106E+00
-2.312500E+00,+4.366834E+00,+3.786432E+00,+8.366834E+00
-2.310000E+00,+4.326633E+00,+3.778894E+00,+8.530151E+00
-2.307500E+00,+4.326633E+00,+3.924623E+00,+7.964824E+00
-2.305000E+00,+4.286432E+00,+3.884422E+00,+7.613065E+00
-2.302500E+00,+4.206030E+00,+3.964824E+00,+5.276382E+00
-2.300000E+00,+4.148241E+00,+3.924623E+00,+4.572864E+00
-2.297500E+00,+4.085427E+00,+4.005025E+00,+3.919598E+00
-2.295000E+00,+4.005025E+00,+4.012563E+00,+1.180904E+00
-2.292500E+00,+3.907035E+00,+3.964824E+00,+263.819E-03
-2.290000E+00,+3.778894E+00,+4.045226E+00,-100.503E-03
-2.287500E+00,+3.683417E+00,+3.964824E+00,-2.035176E+00
-2.285000E+00,+3.562814E+00,+4.020100E+00,-2.035176E+00
-2.282500E+00,+3.442211E+00,+3.924623E+00,-1.708543E+00
-2.280000E+00,+3.304020E+00,+3.924623E+00,-2.148241E+00
-2.277500E+00,+3.160804E+00,+3.786432E+00,-2.349246E+00
-2.275000E+00,+3.015075E+00,+3.778894E+00,+62.814E-03
-2.272500E+00,+2.879397E+00,+3.650754E+00,+665.829E-03
-2.270000E+00,+2.718593E+00,+3.497487E+00,+866.834E-03
-2.267500E+00,+2.582915E+00,+3.384422E+00,+1.507538E+00
-2.265000E+00,+2.396985E+00,+3.175879E+00,+1.180904E+00
-2.262500E+00,+2.261307E+00,+3.128141E+00,+1.067839E+00
-2.260000E+00,+2.092965E+00,+2.839196E+00,-1.381910E+00
-2.257500E+00,+1.954774E+00,+2.879397E+00,-2.512563E+00
-2.255000E+00,+1.793970E+00,+2.608040E+00,-2.839196E+00
