9328;348;9b60;
1d;32a;349;a104;
1d;326;34b;a6ac;
1c;329;34c;ac50;
1c;32a;34a;b1f4;
1b;32a;34e;b798;
1a;32??*?24;337;369;30;
26;338;36a;430;
26;33b;366;824;
26;33a;366;c1c;
28;339;369;1018;
27;339;367;1418;
29;338;36a;1818;
29;33b;36c;1c20;
2a;33f;367;201c;
2a;339;369;2424;
2b;33c;368;2834;
2c;339;36a;2c44;
2c;33e;365;3050;
2e;33d;36d;35f4;
2f;33b;36a;3b98;
31;33d;367;413c;
31;33a;36a;46e4;
33;33a;369;4c88;
34;33c;368;522c;
34;33d;366;57d0;
37;33a;368;5d78;
37;33c;36b;631c;
39;33e;369;68c0;
3b;339;36a;6e64;
3b;33e;36a;7410;
3d;33b;369;79b0;
3f;33b;369;7f54;
3f;337;36e;84f8;
41;33c;369;8aa0;
43;33d;367;9044;
45;33b;369;95e8;
46;339;366;9b8c;
47;33c;368;a134;
49;33a;369;a6d8;
4b;33c;369;ac7c;
4d;339;36b;b220;
4e;33b;368;b7c8;
4f;33a;367;bd6c;
51;338;367;c310;
53;33f;369;c8b4;
54;33c;369;ce5c;
56;33b;369;d404;
58;33e;369;d9a4;
59;33e;365;df48;
5c;339;36a;e4f0;
5d;33a;368;ea94;
5f;33b;369;f038;
62;339;368;f5dc;
63;339;368;fb84;
64;337;368;128;
66;336;368;678;
67;334;367;bc8;
6a;330;368;1118;
6c;32a;369;16bc;
6c;325;368;1c60;
6f;320;368;2208;
71;31e;367;27ac;
73;31c;368;2d50;
75;31e;368;32f4;
77;31e;369;389c;
79;322;365;3e40;
7a;31f;369;43e4;
7c;319;369;4988;
7e;319;368;4f30;
7f;318;368;54d4;
81;318;367;5a78;
83;31a;369;6020;
85;319;367;65c4;
87;319;368;6b68;
89;317;369;710c;
8a;319;367;76b0;
8c;319;368;7c58;
8e;317;368;81fc;
90;31a;367;87a0;
93;31b;368;8d44;
93;31a;366;92ec;
95;31d;369;9890;
98;319;367;9e34;
99;31a;36a;a3d8;
9b;31c;367;a980;
