
;32d;34a;d3bc;
18;32f;349;d964;
19;331;34d;df08;
19;333;34e;e4ac;
18;332;34e;ea50;
19;33;?6c;339;36d;30;
69;33a;36e;428;
66;339;36d;81c;
63;33a;36d;c18;
5f;338;36e;1014;
5d;339;36d;1410;
59;33a;36e;1810;
57;33a;36e;1c0c;
54;33d;36d;2014;
51;339;36e;2418;
4e;33b;36f;2818;
4a;337;36e;2c18;
49;339;36d;3048;
44;33a;36b;35ec;
41;33d;36d;3b94;
3d;33d;36e;4138;
39;339;36b;46dc;
36;339;36b;4c80;
34;33b;36c;5228;
30;339;36c;57cc;
2d;33a;370;5d70;
2b;33a;36b;6314;
27;33a;36b;68bc;
26;33b;36b;6e60;
23;338;36b;740c;
21;336;36d;79a8;
20;338;36b;7f50;
1e;337;36c;84f4;
1d;33c;36d;8a98;
1b;337;36c;903c;
1b;337;36b;95e4;
19;33a;36b;9b88;
19;33b;36b;a12c;
18;33a;36b;a6d0;
18;33a;36d;ac78;
19;339;36b;b21c;
19;339;36d;b7c0;
19;339;36b;bd64;
1a;33b;36c;c30c;
1b;33b;36c;c8b0;
1b;33c;36b;ce54;
1d;339;36b;d3f8;
1f;337;36a;d9a0;
21;33c;36b;df44;
22;33b;36e;e4e8;
25;339;36c;ea8c;
27;339;36e;f034;
28;33d;36b;f5d8;
2d;339;36c;fb7c;
2f;33b;36d;120;
32;339;36c;670;
35;339;36b;bc0;
38;33b;369;1110;
3b;33a;36b;16b8;
3f;339;36c;1c5c;
42;33b;36b;2200;
47;33b;36e;27a4;
4b;33b;36c;2d4c;
4e;33d;36b;32f0;
52;338;36a;3894;
57;339;36b;3e38;
5b;339;367;43e0;
60;337;36a;4984;
64;337;369;4f28;
68;338;369;54cc;
6d;339;369;5a74;
71;33a;36a;601c;
75;33a;367;65bc;
7a;337;36c;6b60;
80;330;36a;7108;
83;32b;369;76ac;
88;329;369;7c50;
8e;323;36a;81f4;
92;328;367;879c;
97;323;369;8d40;
9b;319;36c;92e4;
9f;30b;369;9888;
a4;303;36c;9e30;
a8;2ff;367;a3d4;
ad;2fd;36a;a978;
b0;2fa;36c;af1c;
b5;2f8;368;b4c4;
b9;2f6;367;ba68;
bc;2f6;369;c014;
bf;2f9;36b;c5b0;
c3;2fe;369;cb58;
c7;2fa;367;d0fc;
ca;2fb;369;d6a0;
cd;2fc;367;dc44;
d0;2fd;367;e1ec;
d1;2fc;367;e790;
d6;2fd;367;ed34;
d8;2fd;368;f2d8;
da;301;369;f880;
dc;300;369;fe24;
de;301;369;3c8;
df;302;368;918;
e1;300;369;e68;
e1;305;368;13b8;
e3;306;368;195c;
e2;303;367;1f04;
e3;305;369;24a8;
e6;306;369;2a4c;
e6;305;367;2ff0;
e5;306;368;3598;
e4;307;368;3b3c;
e5;307;368;40e0;
e3;305;367;4684;
e3;308;36a;4c2c;
e2;308;365;51d0;
e0;308;367;5774;
df;306;36a;5d18;
dd;309;367;62c0;
dc;30b;369;6864;
db;308;365;6e08;
d8;309;368;73ac;
d5;30a;368;7954;
d3;30a;368;7ef8;
d1;307;366;849c;
ce;30b;369;8a40;
cb;30e;368;8fe8;
c7;30c;367;958c;
c4;30e;365;9b30;
c1;30e;369;a0d4;
bc;30c;36b;a67c;
b9;309;366;ac20;
b5;308;369;b1c4;
b1;30a;36b;b768;
ae;309;368;bd10;
a9;307;36c;c2b4;
a4;30e;368;c858;
a1;30d;369;cdfc;
9c;308;366;d3a4;
97;30b;368;d948;
93;30b;36a;deec;
8e;30a;368;e490;
89;30a;368;ea38;
85;307;366;efdc;
81;30a;367;f580;
7b;307;368;fb24;
77;309;368;cc;
74;30b;369;5c4;
6e;30b;366;b14;
6b;30a;368;1064;
66;309;367;160c;
61;30b;369;1bb0;
5d;309;369;2154;
59;30b;368;26f8;
55;30c;36b;2ca0;
50;30b;368;3244;
4c;30c;366;37e8;
48;309;36d;3d8c;
45;30b;368;4334;
40;308;369;48d8;
3d;30b;367;4e7c;
39;309;368;5420;
36;30c;369;59c8;
33;30c;368;5f6c;
30;30f;368;6510;
2d;312;368;6ab4;
2a;311;368;705c;
28;315;36a;7600;
25;318;368;7ba4;
23;319;367;8148;
22;31c;368;86f0;
1f;31e;369;8c94;
1d;321;367;9238;
1d;321;368;97dc;
1b;326;365;9d84;
19;325;367;a328;
1a;329;368;a8cc;
19;32b;369;ae70;
18;32d;368;b41c;
19;32f;368;b9bc;
19;330;368;bf60;
19;330;369;c504;
