;04;31a;b1f4;
61;305;3195;302;317;901c;
8e;306;319;95bc;
86;302;319;9b60;
7e;301;319;a104;
77;300;31a;a6ac;
70;300;31a;ac50;
68;304;31a;b1f4;
61;305;31b;b798;
5a;???;
8e;306;319;95bc;
86;302;319;9b60;
7e;301;319;a104;
77;300;31a;a6ac;
70;300;31a;ac50;
68;304;31a;b1f4;
61;305;31b;b798;
5a;???6c;33a;36e;30;
72;33d;36e;428;
77;339;36f;81c;
7c;33a;36f;c1c;
80;33a;36d;1018;
86;338;36e;1414;
8c;338;36e;181c;
91;339;36e;1c18;
97;33a;372;2010;
9c;335;36e;240c;
a1;339;36e;280c;
a5;33b;370;2c0c;
aa;338;36f;3048;
b1;33b;36b;35ec;
b7;33c;371;3b94;
bd;339;36d;4138;
c3;33b;36b;46dc;
c8;33c;36c;4c80;
cd;33e;36c;5228;
d1;337;369;57cc;
d6;339;36a;5d70;
da;33b;36c;6314;
dd;339;36c;68bc;
df;337;36b;6e60;
e2;336;369;740c;
e4;339;36c;79a8;
e5;33e;36d;7f50;
e5;33a;36c;84f4;
e5;338;36a;8a98;
e4;339;36d;903c;
e4;33d;36a;95e4;
e2;32b;36c;9b88;
e0;31f;36a;a12c;
de;30e;36a;a6d0;
da;311;367;ac78;
d6;30c;369;b21c;
d3;2f7;365;b7c0;
ce;2cd;369;bd64;
c9;2a8;369;c30c;
c3;29f;368;c8b0;
be;2a2;368;ce54;
b9;29e;36b;d3f8;
b2;29a;36a;d9a0;
ab;2a0;368;df44;
a5;2ac;369;e4e8;
9d;2ba;368;ea8c;
96;2bf;365;f034;
8f;2c9;366;f5d8;
87;2d4;368;fb7c;
80;2e1;368;120;
79;2ea;367;670;
72;2f4;367;bc0;
6b;2fb;369;1110;
64;301;36b;16b8;
5d;30b;366;1c5c;
56;30e;36b;2200;
50;30f;36c;27a4;
49;318;368;2d4c;
43;31d;369;32f0;
3e;31e;36a;3894;
38;321;368;3e38;
32;326;366;43e0;
2e;328;368;4984;
2a;32a;369;4f28;
25;32c;369;54cc;
22;32c;368;5a74;
1f;32f;365;601c;
1d;32f;366;65bc;
1b;330;368;6b60;
1a;32e;368;7108;
19;32f;368;76ac;
19;331;367;7c50;
19;331;369;81f4;
1a;332;368;879c;
1b;334;369;8d40;
1d;331;368;92e4;
1f;32f;367;9888;
22;332;369;9e30;
25;335;36c;a3d4;
29;332;369;a978;
2e;32f;368;af1c;
33;333;369;b4c4;
37;32f;367;ba68;
3d;333;366;c014;
44;331;366;c5b0;
49;334;366;cb58;
50;331;369;d0fc;
57;331;369;d6a0;
5d;32e;368;dc44;
65;330;368;e1ec;
6c;32f;369;e790;
73;32e;368;ed34;
7a;32e;369;f2d8;
82;32d;369;f880;
89;32c;36a;fe24;
91;32a;369;3c8;
98;32a;367;918;
9e;326;368;e68;
a5;324;368;13b8;
ac;325;368;195c;
b2;31f;369;1f04;
b8;31f;368;24a8;
bf;31c;367;2a4c;
c5;317;367;2ff0;
c9;317;369;3598;
ce;314;368;3b3c;
d3;312;368;40e0;
d8;30e;368;4684;
db;30e;368;4c2c;
dd;30d;368;51d0;
e0;308;367;5774;
e3;30c;367;5d18;
e4;30a;367;62c0;
e4;308;366;6864;
e6;30a;36c;6e08;
e5;30a;364;73ac;
e4;309;369;7954;
e3;309;368;7ef8;
e1;307;366;849c;
df;307;369;8a40;
dc;30b;368;8fe8;
da;30a;367;958c;
d7;309;36b;9b30;
d3;30c;366;a0d4;
cd;30a;368;a67c;
c8;309;368;ac20;
c3;309;367;b1c4;
bd;30c;368;b768;
b8;309;367;bd10;
b1;30a;368;c2b4;
aa;309;367;c858;
a3;307;367;cdfc;
9c;309;368;d3a4;
94;307;367;d948;
8e;308;367;deec;
86;308;36a;e490;
7f;30a;368;ea38;
78;306;369;efdc;
71;309;36a;f580;
69;30a;368;fb24;
62;307;369;cc;
5c;30a;367;5c4;
55;308;368;b14;
4e;307;366;1064;
48;30a;369;160c;
43;30c;366;1bb0;
3d;30c;368;2154;
37;310;369;26f8;
31;30c;369;2ca0;
2e;30d;361;3244;
29;312;365;37e8;
25;313;363;3d8c;
22;316;362;4334;
1e;31c;365;48d8;
1d;31d;361;4e7c;
1b;31f;360;5420;
19;323;35f;59c8;
19;324;360;5f6c;
19;327;360;6510;
19;32a;35d;6ab4;
1a;32d;360;705c;
1c;32e;360;7600;
1d;32f;35f;7ba4;
20;331;361;8148;
22;330;360;86f0;
25;334;35f;8c94;
29;334;361;9238;
2f;338;35e;97dc;
34;336;360;9d84;
39;338;363;a328;
3d;334;360;a8cc;
44;336;361;ae70;
4a;337;35f;b41c;
50;333;35f;b9bc;
58;335;361;bf60;
5f;334;362;c504;
66;331;362;caac;
6d;330;360;d050;
74;32b;361;d5f4;
7b;32b;360;db98;
83;32a;35f;e140;
8a;325;360;e6e4;
91;324;35e;ec88;
99;324;360;f22c;
a0;31e;35e;f7d4;
a7;31f;361;fd78;
ad;31e;35e;31c;
b3;31d;35a;86c;
b9;317;35a;dbc;
bf;316;356;130c;
c4;313;358;18b0;
ca;311;355;1e58;
ce;312;355;23fc;
d3;310;353;29a0;
d7;311;350;2f44;
da;30e;352;34ec;
df;30e;351;3a90;
e1;30f;350;4034;
e3;30e;34c;45d8;
e4;30e;349;4b80;
e5;30d;348;5124;
e5;30b;348;56c8;
e5;30e;346;5c6c;
e4;30d;347;6214;
e2;30c;342;67b8;
e2;30e;342;6d5c;
e0;30a;344;7300;
dc;30e;340;78a8;
d9;30c;33f;7e4c;
d5;30c;33e;83f0;
d1;30c;33c;8994;
cc;308;33a;8f3c;
c8;30c;338;94e0;
c2;30c;336;9a84;
bd;30e;335;a028;
b7;30c;334;a5d0;
b0;30d;331;ab74;
aa;30d;32f;b118;
a3;30d;32d;b6bc;
9c;30c;32d;bc64;
94;30d;32e;c208;
8e;30d;327;c7ac;
86;30d;329;cd50;
7f;30c;329;d2f8;
78;30c;328;d89c;
6f;30b;325;de40;
68;30a;327;e3e4;
61;30a;327;e98c;
5a;30c;327;ef30;
53;30d;32a;f4d4;
4d;30b;327;fa78;
46;30c;32a;20;
41;30d;32a;518;
3c;30d;32b;a68;
36;30e;32b;fb8;
31;30f;32c;1508;
2d;30d;32f;1ab0;
29;312;32f;2054;
25;316;333;25f8;
21;317;333;2b9c;
1f;319;333;3144;
1d;31d;335;36e8;
1b;321;335;3c8c;
1a;322;337;4230;
19;328;33b;47d8;
19;325;33e;4d7c;
19;329;33f;5320;
19;32b;33f;58c4;
1c;32b;343;5e6c;
1d;330;344;6414;
1f;330;346;69b4;
23;332;348;6f58;
27;332;349;7500;
2a;335;34b;7aa4;
2e;333;351;8048;
33;331;34e;85ec;
39;333;34f;8b94;
3e;333;353;9138;
44;332;352;96dc;
4a;334;354;9c80;
51;335;356;a228;
58;332;355;a7cc;
5e;333;357;ad70;
66;331;358;b314;
6c;330;355;b8bc;
74;32d;356;be60;
7c;32a;35a;c40c;
83;32a;358;c9a8;
8a;326;357;cf50;
92;326;355;d4f4;
99;326;359;da98;
a0;324;356;e03c;
a7;320;355;e5e4;
ad;31f;359;eb88;
b3;31d;357;f12c;
ba;31a;358;f6d0;
c0;317;355;fc78;
c6;314;353;21c;
cb;30f;352;76c;
d0;311;351;cbc;
d3;30d;34e;120c;
d6;30d;350;17b0;
db;30d;34c;1d54;
dd;30a;349;22fc;
e1;30b;348;28a0;
e2;30b;347;2e44;
e3;30b;344;33e8;
e5;309;342;3990;
e6;30a;33f;3f34;
e6;307;33d;44d8;
e5;308;33b;4a7c;
e3;30a;338;5024;
e2;30b;334;55c8;
df;30d;334;5b6c;
dd;309;330;6110;
d9;30a;32e;66b8;
d5;308;32b;6c5c;
d1;307;32d;7200;
cd;30a;328;77a4;
c8;309;328;7d4c;
c2;309;325;82f0;
bc;309;323;8894;
b7;30a;323;8e38;
b0;308;320;93e0;
a9;30a;321;9984;
a2;309;31d;9f28;
9b;307;31c;a4cc;
94;30a;31f;aa74;
8d;309;31d;b01c;
86;309;31d;b5bc;
7e;30a;31a;bb60;
77;30c;31d;c108;
70;30a;31d;c6ac;
68;30a;31f;cc50;
61;309;320;d1f4;
5a;307;31d;d79c;
53;30c;31d;dd40;
4c;309;324;e2e4;
47;309;324;e888;
41;30c;322;ee30;
3a;30b;326;f3d4;
35;30d;324;f978;
31;30e;326;ff1c;
2c;30d;329;4c4;
27;311;32a;a14;
24;313;32b;f64;
21;318;32c;14b4;
1f;319;330;1a58;
1c;31d;333;1ffc;
1a;31f;333;25a0;
19;321;338;2b48;
18;325;339;30ec;
19;32a;33a;3690;
19;32b;33e;3c34;
19;32c;342;41dc;
1b;32d;344;4780;
1d;32f;346;4d24;
21;332;343;52c8;
23;331;347;5870;
27;331;34a;5e14;
2b;338;34b;63b8;
2f;338;34d;695c;
34;335;34b;6f04;
39;335;34d;74a8;
3f;337;350;7a4c;
45;335;351;7ff0;
4b;334;351;8598;
52;334;355;8b3c;
58;334;356;90e0;
5f;32f;354;9684;
66;330;355;9c2c;
6e;32e;358;a1d0;
75;32c;357;a774;
7d;32c;359;ad18;
84;327;356;b2c0;
8b;326;359;b864;
92;327;356;be08;
9a;323;357;c3ac;
a1;322;356;c954;
a8;322;355;cef8;
ae;321;357;d49c;
b5;31a;353;da40;
bb;317;353;dfe8;
c2;317;354;e58c;
c7;313;353;eb30;
cc;310;350;f0d4;
d0;30f;350;f67c;
d5;30c;34c;fc20;
d9;30f;34e;1c4;
dc;30c;34a;714;
de;30b;348;c64;
e1;30b;349;11b4;
e2;30b;343;1758;
e3;30d;340;1d00;
e5;30c;340;22a4;
e5;30c;33f;2848;
e5;30b;33c;2dec;
e4;30d;33a;3394;
e2;30b;336;3938;
e1;30d;334;3edc;
de;30c;331;4480;
dd;30b;32f;4a28;
d8;30b;32d;4fcc;
d5;30d;32b;5570;
d0;30c;329;5b14;
cc;30d;329;60bc;
c7;30d;327;6660;
c1;30e;324;6c0c;
bc;30c;320;71a8;
b5;30f;321;7750;
af;30c;31e;7cf4;
a8;30a;31e;8298;
a1;30d;320;883c;
9b;30b;31b;8de4;
93;30d;31a;9388;
8c;30a;31c;992c;
84;30e;31d;9ed0;
7d;30c;31c;a478;
76;30b;31d;aa1c;
6e;30c;31c;afc0;
67;30c;31c;b564;
60;30d;31e;bb0c;
58;30b;31f;c0b0;
52;30c;31d;c654;
4b;30c;321;cbf8;
45;30d;322;d1a0;
3f;30f;322;d744;
3a;30e;325;dce8;
35;30e;326;e28c;
30;30f;328;e834;
2a;314;32b;edd8;
27;313;32a;f37c;
23;318;32d;f920;
20;318;330;fec8;
1e;31b;330;46c;
1c;31f;334;9bc;
1a;322;335;f0c;
19;323;335;145c;
18;326;338;1a00;
19;329;33b;1fa4;
19;32b;33b;254c;
1a;32e;33d;2af0;
1b;330;342;3094;
1e;331;344;3638;
20;334;344;3be0;
23;333;34a;4184;
27;333;349;4728;
2c;337;34b;4ccc;
30;335;34d;5274;
34;337;34e;581c;
3a;336;34e;5dbc;
3f;335;350;6360;
46;333;352;6908;
4c;335;352;6eac;
53;336;355;7450;
59;333;354;79f4;
60;332;356;7f9c;
67;32f;355;8540;
70;32d;358;8ae4;
76;32e;357;9088;
7e;32d;357;9630;
86;32f;358;9bd4;
8d;32d;353;a178;
94;328;357;a71c;
9b;326;356;acc4;
a1;323;356;b268;
a9;322;35a;b814;
b0;31d;358;bdb0;
b6;31c;355;c358;
bd;31a;355;c8fc;
c1;318;352;cea0;
c8;318;352;d444;
cc;30f;351;d9ec;
d1;312;34d;df90;
d4;310;34d;e534;
d9;30f;34d;ead8;
dd;30d;34b;f080;
df;30a;346;f624;
e1;30d;348;fbc8;
e3;30e;344;16c;
e5;30e;340;6bc;
e5;30b;341;c14;
e4;30f;33e;115c;
e4;30e;33c;1704;
e3;30c;339;1ca8;
e2;30d;337;224c;
e0;30d;333;27f0;
de;30d;335;2d98;
db;30d;331;333c;
d9;30d;32d;38e0;
d5;309;32c;3e84;
d0;30d;32b;442c;
cc;30e;325;49d0;
c7;30e;325;4f74;
c1;30a;324;5518;
bb;30c;321;5ac0;
b5;30c;321;6064;
af;30b;31e;6608;
a7;30c;31b;6bac;
a1;30e;31e;7154;
99;30a;31d;76f8;
92;30c;31b;7c9c;
8b;30c;31c;8240;
84;30b;31d;87e8;
7c;30c;31b;8d8c;
75;30b;31e;9330;
6d;30a;31e;98d4;
66;30c;31f;9e7c;
5f;30e;31f;a420;
58;30b;31f;a9c4;
51;30b;31f;af68;
4b;30a;321;b510;
44;30c;322;bab4;
3e;30e;323;c058;
39;30e;324;c5fc;
34;312;325;cba4;
2d;314;326;d148;
2a;314;32a;d6ec;
26;315;32c;dc90;
23;31a;32d;e238;
20;31a;32e;e7dc;
1e;31e;330;ed80;
1c;322;333;f324;
1a;323;335;f8cc;
19;327;337;fe70;
19;32a;33b;41c;
19;329;33a;964;
19;32d;33e;eb4;
1a;32b;33f;140c;
1c;330;341;19a8;
1f;333;344;1f50;
21;334;345;24f4;
24;334;347;2a98;
28;331;349;303c;
2c;332;34b;35e4;
30;334;34e;3b88;
36;333;34e;412c;
3b;334;34d;46d0;
41;334;350;4c78;
47;334;351;521c;
4e;336;351;57c0;
54;332;354;5d64;
5a;336;354;630c;
61;334;353;68b0;
69;332;355;6e54;
71;331;357;73f8;
77;32e;356;79a0;
80;32d;357;7f44;
85;330;358;84e8;
8d;32c;358;8a8c;
95;328;357;9034;
9c;329;357;95d8;
a3;326;354;9b7c;
aa;322;355;a120;
b0;320;355;a6c8;
b6;31d;354;ac6c;
bd;31c;353;b210;
c2;31e;351;b7b4;
c7;318;352;bd5c;
cd;315;351;c300;
d2;312;34f;c8a4;
d5;30e;34e;ce48;
da;312;34e;d3f0;
dd;30e;349;d994;
df;30d;349;df38;
e2;30b;346;e4dc;
e4;30c;343;ea84;
e4;30a;33d;f028;
e5;309;340;f5cc;
e5;30b;33e;fb70;
e4;30d;339;118;
e3;307;337;668;
e2;30a;336;bb8;
e0;309;336;1108;
de;30d;332;16ac;
db;30a;32e;1c50;
d8;309;32d;21f4;
d3;309;32b;279c;
cf;309;329;2d40;
ca;30e;326;32e4;
c4;30a;324;3888;
bf;30a;322;3e30;
b9;30c;31f;43d4;
b3;30a;320;4978;
ad;30b;320;4f1c;
a6;30d;321;54c4;
a0;309;31a;5a68;
99;30c;31b;6014;
